epoch,accuracy,loss,val_accuracy,val_loss
0,0.7379999756813049,0.8344835638999939,0.8287500143051147,0.3741445541381836
1,0.8289999961853027,0.4315795302391052,0.8824999928474426,0.29723939299583435
2,0.8500000238418579,0.3580760657787323,0.8412500023841858,0.4168582558631897
3,0.890999972820282,0.29615145921707153,0.8787500262260437,0.316500723361969
4,0.9049999713897705,0.26770612597465515,0.862500011920929,0.38703295588493347
5,0.9100000262260437,0.2383902221918106,0.9037500023841858,0.2991688847541809
6,0.9440000057220459,0.1600169837474823,0.8774999976158142,0.4245574176311493
7,0.9409999847412109,0.18526820838451385,0.8999999761581421,0.4247508645057678
8,0.9480000138282776,0.15727396309375763,0.8862500190734863,0.4338805079460144
9,0.9539999961853027,0.11883123219013214,0.8149999976158142,1.0243803262710571
